SampleID,CoNS Staphylococcus spp.,OtherTaxa_NotStaph,Staphylococcus aureus,Staphylococcus caprae or S. capitis,Staphylococcus epidermidis,Staphylococcus haemolyticus,Staphylococcus hominis,Staphylococcus lugdunensis,Staphylococcus pasteuri,Staphylococcus pettenkoferi,Staphylococcus warneri
LK16S011-021,0,0.611553294,0,0,0.373553787,0,0.013251826,0,0,0.000738492,0.000902601
LK16S011-022,0,0.732199787,0,0.091392136,0.130712009,0.023379384,0.022316684,0,0,0,0
LK16S011-023,0,0.078088775,0,0,0.909876491,0,0.012034734,0,0,0,0
LK16S011-024,0,0.702932829,0,0,0.297067171,0,0,0,0,0,0
LK16S011-025,0,0.203736883,0,0,0.796263117,0,0,0,0,0,0
LK16S011-026,0,0.769230769,0,0,0.230769231,0,0,0,0,0,0
LK16S011-027,0,0.088294024,0,0,0.910259007,0,0.001446969,0,0,0,0
LK16S011-028,0,0.861176471,0,0,0.138823529,0,0,0,0,0,0
LK16S011-029,0,0.434513274,0,0,0.549262537,0,0.016224189,0,0,0,0
LK16S011-030,0,0.941860465,0,0,0.058139535,0,0,0,0,0,0
LK16S011-031,0,0.061443466,0,0,0.928788339,0,0.009768195,0,0,0,0
LK16S011-032,0,0.943396226,0,0,0.056603774,0,0,0,0,0,0
LK16S011-033,0,0.108079748,0,0.132214061,0.759706191,0,0,0,0,0,0
LK16S011-034,0,0.999574428,0,0,0,0,0,0.000425572,0,0,0
LK16S011-035,0.012820513,0.908653846,0,0.024706197,0.042401175,0,0.010416667,0,0,0,0.001001603
LK16S011-036,0,0.547170847,0,0.005488173,0.44734098,0,0,0,0,0,0
LK16S011-037,0,1,0,0,0,0,0,0,0,0,0
LK16S011-038,0.028636021,0.637528259,0,0,0.296156745,0,0.037678975,0,0,0,0
LK16S011-039,0,0.788395904,0,0,0.211604096,0,0,0,0,0,0
LK16S011-040,0,0.986364914,0,0,0.005529004,0,0,0.008106082,0,0,0
LK16S011-041,0,0.358549687,0,0.11996419,0.521486124,0,0,0,0,0,0
LK16S011-042,0,0.998753965,0,0,0,0,0,0.001246035,0,0,0
LK16S011-043,0.048152296,0.927211646,0,0.024636058,0,0,0,0,0,0,0
LK16S011-044,0,0.934571176,0,0,0.065428824,0,0,0,0,0,0
LK16S011-045,0,1,0,0,0,0,0,0,0,0,0
LK16S011-046,0.338912134,0.456066946,0,0,0.150627615,0,0.054393305,0,0,0,0
LK16S011-047,0,0.7421875,0,0,0.1015625,0.15625,0,0,0,0,0
LK16S011-048,0,0.996441281,0,0,0,0,0,0.003558719,0,0,0
